Número total de Estabelecimentos ou Unidades Locais - Industria
Sigla,Código,Município,1970,1975,1980,1985,1995,
BA,2914109,Ipupiara,8,5,4,11,1,
BA,2914208,Irajuba,5,7,9,3,3,
BA,2914307,Iramaia,4,2,2,14,2,
BA,2914406,Iraquara,7,29,11,45,5,
BA,2914505,Irará,26,16,21,18,12,
BA,2914604,Irecê,21,47,54,87,58,
BA,2914653,Itabela,,,,,25,
BA,2914703,Itaberaba,47,42,46,62,55,
BA,2914802,Itabuna,145,150,177,154,335,
BA,2914901,Itacaré,7,11,7,,3,
BA,2915007,Itaeté,13,11,10,22,0,
BA,2915106,Itagi,1,7,5,6,3,
BA,2915205,Itagibá,4,5,10,21,3,
BA,2915304,Itagimirim,15,8,4,5,6,
BA,2915353,Itaguaçu da Bahia,,,,,2,
BA,2915403,Itaju do Colônia,10,10,7,7,8,
BA,2915502,Itajuípe,11,25,14,13,6,
BA,2915601,Itamaraju,52,60,92,94,81,
BA,2915700,Itamari,5,5,10,6,2,
BA,2915809,Itambé,20,19,27,31,10,
BA,2915908,Itanagra,5,5,4,1,0,
BA,2916005,Itanhém,12,14,43,49,15,
BA,2916104,Itaparica,7,2,4,4,7,
BA,2916203,Itapé,6,13,16,20,2,
BA,2916302,Itapebi,3,9,9,7,9,
BA,2916401,Itapetinga,135,48,84,87,77,
BA,2916500,Itapicuru,28,18,17,27,2,
BA,2916609,Itapitanga,3,11,9,2,3,
BA,2916708,Itaquara,6,6,3,5,3,
BA,2916807,Itarantim,18,8,21,18,14,
BA,2916856,Itatim,,,,,2,
BA,2916906,Itiruçu,3,1,8,2,16,
BA,2917003,Itiúba,57,43,65,119,1,
BA,2917102,Itororó,29,13,47,30,16,
BA,2917201,Ituaçu,22,39,33,22,13,
BA,2917300,Ituberá,28,37,21,28,26,
BA,2917334,Iuiú,,,,,2,
BA,2917359,Jaborandi,,,,,0,
BA,2917409,Jacaraci,6,12,11,26,9,
BA,2917508,Jacobina,41,71,138,272,91,
BA,2917607,Jaguaquara,25,15,15,20,30,
BA,2917706,Jaguarari,46,19,37,36,15,
BA,2917805,Jaguaripe,24,10,5,1,1,
BA,2917904,Jandaíra,15,2,21,2,0,
BA,2918001,Jequié,121,115,171,172,228,
BA,2918100,Jeremoabo,42,17,24,37,12,
BA,2918209,Jiquiriçá,9,9,7,4,10,
BA,2918308,Jitaúna,4,6,12,9,3,
BA,2918357,João Dourado,,,,,4,
BA,2918407,Juazeiro,221,332,299,137,122,
BA,2918456,Jucuruçu,,,,,1,
BA,2918506,Jussara,2,6,5,3,0,
BA,2918555,Jussari,,,,,1,
BA,2918605,Jussiape,14,8,5,24,0,
BA,2918704,Lafaiete Coutinho,1,1,,1,2,
BA,2918753,Lagoa Real,,,,,3,
BA,2918803,Laje,22,17,6,23,7,
BA,2918902,Lajedão,1,1,3,3,2,
BA,2919009,Lajedinho,1,,2,1,0,
BA,2919058,Lajedo do Tabocal,,,,,2,
BA,2919108,Lamarão,4,11,9,7,2,
BA,2919157,Lapão,,,,,2,
BA,2919207,Lauro de Freitas,12,8,45,61,263,
BA,2919306,Lençóis,8,4,3,3,4,
BA,2919405,Licínio de Almeida,5,11,11,16,31,
BA,2919504,Livramento de Nossa Senhora,31,26,27,12,27,
BA,2919553,Luís Eduardo Magalhães,,,,,,
BA,2919603,Macajuba,8,6,4,7,2,
BA,2919702,Macarani,3,6,5,6,2,
BA,2919801,Macaúbas,29,13,14,31,14,
BA,2919900,Macururé,11,3,,7,0,
