Capital Humano
Sigla,Código,Município,1991,2000,
BA,2916807,Itarantim,543142.628859822,833066.813546073,
BA,2916856,Itatim,268953.958799441,541132.551980523,
BA,2916906,Itiruçu,378146.78740143,628243.736891181,
BA,2917003,Itiúba,870500.782763138,1386154.8916252,
BA,2917102,Itororó,687961.569125729,967428.163917344,
BA,2917201,Ituaçu,462111.424960779,648703.346126251,
BA,2917300,Ituberá,670056.876395,1088599.39423531,
BA,2917334,Iuiú,297831.314882123,450360.779134298,
BA,2917359,Jaborandi,330240.580087401,453236.570334862,
BA,2917409,Jacaraci,391848.459838864,605971.128626426,
BA,2917508,Jacobina,3026556.00246209,4273648.5154943,
BA,2917607,Jaguaquara,1190014.17438481,2111038.59270296,
BA,2917706,Jaguarari,1054146.50897658,1379732.73779347,
BA,2917805,Jaguaripe,375139.040455854,562128.657834361,
BA,2917904,Jandaíra,195834.773713879,385629.214599277,
BA,2918001,Jequié,6108536.03432865,9080338.59967764,
BA,2918100,Jeremoabo,994421.872175389,1391433.39449268,
BA,2918209,Jiquiriçá,301949.012592705,600693.268680277,
BA,2918308,Jitaúna,587881.754833313,934465.960368754,
BA,2918357,João Dourado,556107.859361868,910789.277443376,
BA,2918407,Juazeiro,6172265.84595773,11260635.3956574,
BA,2918456,Jucuruçu,349067.514549926,458808.437172748,
BA,2918506,Jussara,387492.870704667,659481.085175121,
BA,2918555,Jussari,246596.676952335,366127.436033159,
BA,2918605,Jussiape,375257.807745059,567848.222196653,
BA,2918704,Lafaiete Coutinho,127316.839872548,174901.680216128,
BA,2918753,Lagoa Real,261512.918453838,492187.973007164,
BA,2918803,Laje,471990.644713867,882679.927799818,
BA,2918902,Lajedão,136604.887212572,165582.891920293,
BA,2919009,Lajedinho,158958.739828897,165338.780188385,
BA,2919058,Lajedo do Tabocal,170195.072266693,382879.760647864,
BA,2919108,Lamarão,258621.610822441,373834.459757466,
BA,2919157,Lapão,683216.573832942,1108391.67882546,
BA,2919207,Lauro de Freitas,3519605.40684293,9231406.86947396,
BA,2919306,Lençóis,228326.046346673,461627.127021327,
BA,2919405,Licínio de Almeida,446853.454409806,596449.201228797,
BA,2919504,Livramento de Nossa Senhora,1236881.07683206,1922539.75429804,
BA,2919553,Luís Eduardo Magalhães,,,
BA,2919603,Macajuba,252635.75642655,409329.953800321,
BA,2919702,Macarani,438446.945650707,648363.716403185,
BA,2919801,Macaúbas,992530.914796151,1848293.68749417,
BA,2919900,Macururé,198304.889165068,358024.423794453,
BA,2919926,Madre de Deus,435245.000871369,835807.28236694,
BA,2919959,Maetinga,237947.872240781,517323.581816885,
BA,2920007,Maiquinique,256799.569396996,329602.771341395,
BA,2920106,Mairi,589292.421246334,807350.508894315,
BA,2920205,Malhada,365968.715606551,659126.153956276,
BA,2920304,Malhada de Pedras,186649.798314439,342064.198882097,
BA,2920403,Manoel Vitorino,411187.301040497,618048.288664832,
BA,2920452,Mansidão,281907.9886173,502091.798500527,
BA,2920502,Maracás,771958.389334821,1555984.94548173,
BA,2920601,Maragogipe,1296443.3300147,1954955.93940558,
BA,2920700,Maraú,407204.607438333,706608.522664137,
BA,2920809,Marcionílio Souza,336190.935921704,440541.655497966,
BA,2920908,Mascote,497723.997522757,675528.653983072,
BA,2921005,Mata de São João,1191576.55397247,1939436.00136789,
BA,2921054,Matina,233901.848691213,413010.80818535,
BA,2921104,Medeiros Neto,796661.670320105,1076545.26165291,
BA,2921203,Miguel Calmon,798264.473793889,1344003.93492985,
BA,2921302,Milagres,294271.774070749,584096.169166444,
BA,2921401,Mirangaba,350853.681313561,575302.580613361,
BA,2921450,Mirante,185094.537050344,462832.235087601,
BA,2921500,Monte Santo,1144576.29324445,1876029.02156624,
BA,2921609,Morpará,194816.662428363,371945.206465227,
BA,2921708,Morro do Chapéu,931996.691320077,1554148.95498578,
BA,2921807,Mortugaba,366833.108321592,560779.048779594,
BA,2921906,Mucugê,300179.208590409,559946.87629565,
BA,2922003,Mucuri,497087.137519921,1545382.47941743,
BA,2922052,Mulungu do Morro,342799.260707352,593901.889737544,
BA,2922102,Mundo Novo,894209.382329337,907416.168772998,
BA,2922201,Muniz Ferreira,200718.717973752,363409.074044436,
BA,2922250,Muquém de São Francisco,177197.862046157,342992.932165513,
